g2869,g2869,not,n2573,n7[5]
g2866,g2866,not,n2576,n7[7]
g2864,g2864,not,n2578,n7[14]
g2861,g2861,not,n2581,n7[19]
g2860,g2860,not,n2582,n7[12]
g2859,g2859,not,n2583,n7[13]
g2858,g2858,not,n2584,n7[27]
g2857,g2857,not,n2585,n7[25]
g98,g98,dff,n3[29],1'b1,1'b1,n0,n2347
g2825,g2825,or,n10[0],n8[0],n2616
g1655,g1655,nor,n1116,n518,n450
g97,g97,dff,n3[28],1'b1,1'b1,n0,n2348
g96,g96,dff,n3[27],1'b1,1'b1,n0,n2349
g95,g95,dff,n3[26],1'b1,1'b1,n0,n2350
g93,g93,dff,n3[24],1'b1,1'b1,n0,n2352
g2765,g2765,nor,n57,n2[44],n2[108]
g2642,g2642,nor,n168,n121,n167
g585,g585,nor,n2182,n609,n1513
g92,g92,dff,n3[23],1'b1,1'b1,n0,n2353
g91,g91,dff,n3[22],1'b1,1'b1,n0,n2354
g90,g90,dff,n3[21],1'b1,1'b1,n0,n2355
g89,g89,dff,n3[20],1'b1,1'b1,n0,n2356
g88,g88,dff,n3[19],1'b1,1'b1,n0,n2357
g87,g87,dff,n3[18],1'b1,1'b1,n0,n2358
g86,g86,dff,n3[17],1'b1,1'b1,n0,n2359
g85,g85,dff,n3[16],1'b1,1'b1,n0,n2360
g84,g84,dff,n3[15],1'b1,1'b1,n0,n2361
g83,g83,dff,n3[14],1'b1,1'b1,n0,n2362
g2147,g2147,not,n624,n4[13]
g1639,g1639,nor,n1132,n460,n292
g1422,g1422,nor,n1490,n277,n1309
g82,g82,dff,n3[13],1'b1,1'b1,n0,n2363
g2626,g2626,xnor,n2524,n130,n177
g169,g169,dff,n4[36],1'b1,1'b1,n0,n2491
g81,g81,dff,n3[12],1'b1,1'b1,n0,n2364
g1923,g1923,nor,n848,n8[13],n2[13]
g1291,g1291,or,n1380,n836,n1275
g80,g80,dff,n3[11],1'b1,1'b1,n0,n2365
g79,g79,dff,n3[10],1'b1,1'b1,n0,n2366
g1579,g1579,not,n279,n1188
g523,g523,or,n2244,n1634,n1923
g78,g78,dff,n3[9],1'b1,1'b1,n0,n2367
g77,g77,dff,n3[8],1'b1,1'b1,n0,n2368
g2628,g2628,nor,n177,n30,n176
g2311,g2311,not,n460,n2[64]
g76,g76,dff,n3[7],1'b1,1'b1,n0,n2369
g2373,g2373,not,n398,n2519
g75,g75,dff,n3[6],1'b1,1'b1,n0,n2370
g595,g595,nor,n2172,n683,n1493
g74,g74,dff,n3[5],1'b1,1'b1,n0,n2371
g72,g72,dff,n3[3],1'b1,1'b1,n0,n2373
g71,g71,dff,n3[2],1'b1,1'b1,n0,n2374
g1516,g1516,or,n1231,n758,n1187
g70,g70,dff,n3[1],1'b1,1'b1,n0,n2328
g69,g69,dff,n3[0],1'b1,1'b1,n0,n2375
g68,g68,dff,n6[3],1'b1,1'b1,n0,n965
g67,g67,dff,n6[2],1'b1,1'b1,n0,n961
g66,g66,dff,n6[1],1'b1,1'b1,n0,n960
g2074,g2074,not,n697,n5[32]
g65,g65,dff,n6[0],1'b1,1'b1,n0,n760
g64,g64,dff,n5[63],1'b1,1'b1,n0,n2462
g62,g62,dff,n5[61],1'b1,1'b1,n0,n2469
g60,g60,dff,n5[59],1'b1,1'b1,n0,n2477
g1893,g1893,nor,n878,n8[2],n2[2]
g798,g798,nor,n1969,n1098,n1430
g59,g59,dff,n5[58],1'b1,1'b1,n0,n2482
g460,g460,or,n2307,n1730,n1987
g58,g58,dff,n5[57],1'b1,1'b1,n0,n2485
g55,g55,dff,n5[54],1'b1,1'b1,n0,n2492
g54,g54,dff,n5[53],1'b1,1'b1,n0,n2497
g53,g53,dff,n5[52],1'b1,1'b1,n0,n2499
g52,g52,dff,n5[51],1'b1,1'b1,n0,n2501
g51,g51,dff,n5[50],1'b1,1'b1,n0,n2377
g1147,g1147,nor,n1620,n3[46],n1298
g50,g50,dff,n5[49],1'b1,1'b1,n0,n2381
g48,g48,dff,n5[47],1'b1,1'b1,n0,n2387
g1220,g1220,nor,n1451,n5[49],n1295
g47,g47,dff,n5[46],1'b1,1'b1,n0,n2391
g46,g46,dff,n5[45],1'b1,1'b1,n0,n2395
g2402,g2402,not,n369,n2[14]
g911,g911,or,n1856,n1681,n1791
g45,g45,dff,n5[44],1'b1,1'b1,n0,n2399
g166,g166,dff,n4[33],1'b1,1'b1,n0,n2495
g44,g44,dff,n5[43],1'b1,1'b1,n0,n2401
g1582,g1582,nor,n1188,n942,n1176
g547,g547,or,n2220,n1576,n1898
g43,g43,dff,n5[42],1'b1,1'b1,n0,n2404
g2457,g2457,not,n314,n2[1]
g42,g42,dff,n5[41],1'b1,1'b1,n0,n2407
g41,g41,dff,n5[40],1'b1,1'b1,n0,n2411
g1402,g1402,nor,n1510,n1310,n1185
g40,g40,dff,n5[39],1'b1,1'b1,n0,n2413
g39,g39,dff,n5[38],1'b1,1'b1,n0,n2414
g2522,g2522,nor,n248,n131,n247
g38,g38,dff,n5[37],1'b1,1'b1,n0,n2418
g37,g37,dff,n5[36],1'b1,1'b1,n0,n2423
g36,g36,dff,n5[35],1'b1,1'b1,n0,n2426
g35,g35,dff,n5[34],1'b1,1'b1,n0,n2427
g34,g34,dff,n5[33],1'b1,1'b1,n0,n2428
g2853,g2853,or,n2589,n2578,n7[15]
g594,g594,nor,n2173,n674,n1512
g33,g33,dff,n5[32],1'b1,1'b1,n0,n2429
g2570,g2570,nor,n216,n114,n215
g32,g32,dff,n5[31],1'b1,1'b1,n0,n2431
g31,g31,dff,n5[30],1'b1,1'b1,n0,n2430
g30,g30,dff,n5[29],1'b1,1'b1,n0,n2432
g933,g933,or,n1834,n1644,n1769
g29,g29,dff,n5[28],1'b1,1'b1,n0,n2433
g2852,g2852,or,n2590,n7[29],n7[28]
g1873,g1873,nor,n898,n8[16],n2[112]
g1794,g1794,nor,n977,n533,n367
g99,g99,dff,n3[30],1'b1,1'b1,n0,n2346
g28,g28,dff,n5[27],1'b1,1'b1,n0,n2434
g27,g27,dff,n5[26],1'b1,1'b1,n0,n2435
g26,g26,dff,n5[25],1'b1,1'b1,n0,n2436
g25,g25,dff,n5[24],1'b1,1'b1,n0,n2437
g24,g24,dff,n5[23],1'b1,1'b1,n0,n2438
g885,g885,nor,n1882,n994,n1338
g23,g23,dff,n5[22],1'b1,1'b1,n0,n2439
g22,g22,dff,n5[21],1'b1,1'b1,n0,n2440
g63,g63,dff,n5[62],1'b1,1'b1,n0,n2466
g21,g21,dff,n5[20],1'b1,1'b1,n0,n2441
g19,g19,dff,n5[18],1'b1,1'b1,n0,n2443
g18,g18,dff,n5[17],1'b1,1'b1,n0,n2444
g1702,g1702,nor,n1069,n293,n354
g17,g17,dff,n5[16],1'b1,1'b1,n0,n2445
g16,g16,dff,n5[15],1'b1,1'b1,n0,n2446
g2375,g2375,not,n396,n2[121]
g15,g15,dff,n5[14],1'b1,1'b1,n0,n2447
g14,g14,dff,n5[13],1'b1,1'b1,n0,n2448
g1232,g1232,or,n1439,n881,n1276
g13,g13,dff,n5[12],1'b1,1'b1,n0,n2450
g956,g956,or,n1811,n1610,n1746
g12,g12,dff,n5[11],1'b1,1'b1,n0,n2449
g2137,g2137,not,n634,n3[44]
g582,g582,or,n2185,n1449,n1991
g11,g11,dff,n5[10],1'b1,1'b1,n0,n2463
g10,g10,dff,n5[9],1'b1,1'b1,n0,n2471
g555,g555,or,n2212,n1568,n1891
g9,g9,dff,n5[8],1'b1,1'b1,n0,n2475
g8,g8,dff,n5[7],1'b1,1'b1,n0,n2488
g7,g7,dff,n5[6],1'b1,1'b1,n0,n2479
g6,g6,dff,n5[5],1'b1,1'b1,n0,n2382
g352,g352,or,n2415,n2030,n2221
g5,g5,dff,n5[4],1'b1,1'b1,n0,n2389
g1531,g1531,or,n1216,n759,n1187
g4,g4,dff,n5[3],1'b1,1'b1,n0,n2393
g2259,g2259,not,n512,n2571
g3,g3,dff,n5[2],1'b1,1'b1,n0,n2408
g1549,g1549,or,n1198,n874,n1187
g2,g2,dff,n5[1],1'b1,1'b1,n0,n2420
g840,g840,nor,n1927,n1079,n1387
g0,g0,not,n2505,n1
n5[63],n5[63],output,,n5[63]
n5[62],n5[62],output,,n5[62]
n5[61],n5[61],output,,n5[61]
g981,g981,nor,n1786,n1108,n1261
g539,g539,or,n2228,n1585,n1907
n5[60],n5[60],output,,n5[60]
g992,g992,nor,n1775,n1081,n1229
n5[59],n5[59],output,,n5[59]
n5[58],n5[58],output,,n5[58]
n5[57],n5[57],output,,n5[57]
n5[56],n5[56],output,,n5[56]
n5[55],n5[55],output,,n5[55]
n5[54],n5[54],output,,n5[54]
n5[53],n5[53],output,,n5[53]
n5[52],n5[52],output,,n5[52]
n5[51],n5[51],output,,n5[51]
n5[50],n5[50],output,,n5[50]
n5[48],n5[48],output,,n5[48]
n5[47],n5[47],output,,n5[47]
g1876,g1876,nor,n895,n8[4],n2[68]
n5[46],n5[46],output,,n5[46]
g1234,g1234,or,n1437,n894,n1275
n5[45],n5[45],output,,n5[45]
n5[44],n5[44],output,,n5[44]
n5[43],n5[43],output,,n5[43]
n5[42],n5[42],output,,n5[42]
g481,g481,or,n2286,n1682,n1965
n5[40],n5[40],output,,n5[40]
g1429,g1429,nor,n1483,n276,n1240
n5[39],n5[39],output,,n5[39]
g2582,g2582,nor,n208,n100,n207
g2559,g2559,nor,n223,n26,n222
g2396,g2396,not,n375,n4[61]
g754,g754,nor,n2013,n559,n1479
n5[38],n5[38],output,,n5[38]
g2094,g2094,not,n677,n3[3]
n5[37],n5[37],output,,n5[37]
g688,g688,nor,n2079,n701,n1545
g562,g562,or,n2205,n1464,n1875
n5[35],n5[35],output,,n5[35]
n5[34],n5[34],output,,n5[34]
n5[33],n5[33],output,,n5[33]
g1693,g1693,nor,n1078,n517,n298
n5[32],n5[32],output,,n5[32]
g1993,g1993,nor,n778,n8[17],n2[49]
g290,g290,or,n2477,n1999,n2283
n5[30],n5[30],output,,n5[30]
n5[29],n5[29],output,,n5[29]
g1408,g1408,nor,n1504,n276,n1249
n5[28],n5[28],output,,n5[28]
n5[27],n5[27],output,,n5[27]
g2203,g2203,not,n568,n4[30]
g383,g383,or,n2384,n2001,n2192
n5[26],n5[26],output,,n5[26]
n5[25],n5[25],output,,n5[25]
g57,g57,dff,n5[56],1'b1,1'b1,n0,n2487
n5[24],n5[24],output,,n5[24]
n5[23],n5[23],output,,n5[23]
g388,g388,or,n2379,n1996,n2187
n5[22],n5[22],output,,n5[22]
n5[31],n5[31],output,,n5[31]
n5[21],n5[21],output,,n5[21]
g1433,g1433,nor,n1479,n276,n1239
n5[20],n5[20],output,,n5[20]
n5[19],n5[19],output,,n5[19]
n5[18],n5[18],output,,n5[18]
n5[17],n5[17],output,,n5[17]
g1260,g1260,or,n1411,n772,n1275
n5[16],n5[16],output,,n5[16]
n5[15],n5[15],output,,n5[15]
n5[14],n5[14],output,,n5[14]
g1786,g1786,nor,n985,n516,n467
n5[13],n5[13],output,,n5[13]
g2107,g2107,not,n664,n5[45]
n5[11],n5[11],output,,n5[11]
n5[10],n5[10],output,,n5[10]
n5[9],n5[9],output,,n5[9]
n5[8],n5[8],output,,n5[8]
g2640,g2640,nor,n169,n38,n168
n5[7],n5[7],output,,n5[7]
g550,g550,or,n2217,n1574,n1896
n5[6],n5[6],output,,n5[6]
g2187,g2187,not,n584,n3[16]
n5[5],n5[5],output,,n5[5]
g697,g697,nor,n2070,n565,n1537
n5[4],n5[4],output,,n5[4]
n5[3],n5[3],output,,n5[3]
n5[2],n5[2],output,,n5[2]
g1080,g1080,nor,n1687,n3[5],n1308
n5[1],n5[1],output,,n5[1]
n5[0],n5[0],output,,n5[0]
g2095,g2095,not,n676,n5[50]
g1102,g1102,nor,n1665,n4[51],n1293
n4[63],n4[63],output,,n4[63]
n4[62],n4[62],output,,n4[62]
n4[61],n4[61],output,,n4[61]
n4[60],n4[60],output,,n4[60]
n4[59],n4[59],output,,n4[59]
g2146,g2146,not,n625,n5[1]
g567,g567,or,n2200,n1461,n1878
n4[58],n4[58],output,,n4[58]
g2256,g2256,not,n515,n8[15]
n4[56],n4[56],output,,n4[56]
n4[55],n4[55],output,,n4[55]
g1507,g1507,or,n1280,n293,n278
g207,g207,dff,n7[10],1'b1,1'b1,n0,n949
n4[54],n4[54],output,,n4[54]
g20,g20,dff,n5[19],1'b1,1'b1,n0,n2442
n4[53],n4[53],output,,n4[53]
n4[52],n4[52],output,,n4[52]
n4[51],n4[51],output,,n4[51]
n4[50],n4[50],output,,n4[50]
n4[48],n4[48],output,,n4[48]
g2520,g2520,nor,n249,n63,n248
g1319,g1319,or,n1352,n768,n1275
n4[47],n4[47],output,,n4[47]
n4[46],n4[46],output,,n4[46]
n4[45],n4[45],output,,n4[45]
n4[44],n4[44],output,,n4[44]
n4[43],n4[43],output,,n4[43]
g970,g970,nor,n1797,n1087,n1273
g587,g587,nor,n2180,n568,n1560
n4[42],n4[42],output,,n4[42]
n4[40],n4[40],output,,n4[40]
g843,g843,nor,n1924,n979,n1383
n4[39],n4[39],output,,n4[39]
g2660,g2660,nor,n156,n94,n155
n4[38],n4[38],output,,n4[38]
g2316,g2316,not,n455,n2552
n4[37],n4[37],output,,n4[37]
g2330,g2330,not,n441,n2507
n4[36],n4[36],output,,n4[36]
g1414,g1414,nor,n1498,n276,n1254
g107,g107,dff,n3[38],1'b1,1'b1,n0,n2338
n4[35],n4[35],output,,n4[35]
n4[34],n4[34],output,,n4[34]
g332,g332,or,n2435,n2076,n2242
n4[33],n4[33],output,,n4[33]
g2294,g2294,not,n477,n2517
g1,g1,dff,n5[0],1'b1,1'b1,n0,n2397
n4[32],n4[32],output,,n4[32]
g2233,g2233,not,n538,n8[3]
n4[31],n4[31],output,,n4[31]
g2833,g2833,or,n2609,n2595,n2588
g950,g950,or,n1817,n1619,n1752
n4[30],n4[30],output,,n4[30]
n4[29],n4[29],output,,n4[29]
n4[28],n4[28],output,,n4[28]
n4[27],n4[27],output,,n4[27]
n4[26],n4[26],output,,n4[26]
g575,g575,or,n2192,n1453,n1869
n4[25],n4[25],output,,n4[25]
g216,g216,dff,n7[19],1'b1,1'b1,n0,n929
n4[23],n4[23],output,,n4[23]
n4[22],n4[22],output,,n4[22]
n4[21],n4[21],output,,n4[21]
g534,g534,or,n2233,n1589,n1909
n4[20],n4[20],output,,n4[20]
n4[19],n4[19],output,,n4[19]
n4[18],n4[18],output,,n4[18]
g73,g73,dff,n3[4],1'b1,1'b1,n0,n2372
n4[49],n4[49],output,,n4[49]
n4[17],n4[17],output,,n4[17]
g56,g56,dff,n5[55],1'b1,1'b1,n0,n2490
n5[12],n5[12],output,,n5[12]
n4[16],n4[16],output,,n4[16]
n4[15],n4[15],output,,n4[15]
n4[14],n4[14],output,,n4[14]
g488,g488,or,n2279,n1707,n1959
n4[13],n4[13],output,,n4[13]
g2867,g2867,not,n2575,n7[3]
n4[12],n4[12],output,,n4[12]
g1063,g1063,nor,n1704,n4[53],n1291
g471,g471,or,n2296,n1594,n1976
n5[41],n5[41],output,,n5[41]
n4[11],n4[11],output,,n4[11]
n4[10],n4[10],output,,n4[10]
g1885,g1885,nor,n886,n8[7],n2513
g893,g893,nor,n1874,n1154,n1331
n4[9],n4[9],output,,n4[9]
n4[8],n4[8],output,,n4[8]
g49,g49,dff,n5[48],1'b1,1'b1,n0,n2384
n4[7],n4[7],output,,n4[7]
n4[6],n4[6],output,,n4[6]
n4[5],n4[5],output,,n4[5]
g376,g376,or,n2391,n2008,n2197
n4[4],n4[4],output,,n4[4]
g1214,g1214,nor,n1457,n5[47],n1297
g739,g739,nor,n2028,n647,n1489
n4[3],n4[3],output,,n4[3]
n4[2],n4[2],output,,n4[2]
n4[1],n4[1],output,,n4[1]
n4[0],n4[0],output,,n4[0]
n3[63],n3[63],output,,n3[63]
n3[62],n3[62],output,,n3[62]
n3[61],n3[61],output,,n3[61]
g2213,g2213,not,n558,n5[33]
g1385,g1385,nor,n1527,n276,n1315
n3[60],n3[60],output,,n3[60]
g2595,g2595,nor,n199,n53,n198
n3[59],n3[59],output,,n3[59]
g1975,g1975,nor,n796,n8[23],n2529
n3[58],n3[58],output,,n3[58]
g275,g275,or,n2492,n2173,n2301
n3[57],n3[57],output,,n3[57]
n3[56],n3[56],output,,n3[56]
g1925,g1925,nor,n846,n8[13],n2519
n3[54],n3[54],output,,n3[54]
n3[53],n3[53],output,,n3[53]
g765,g765,nor,n2002,n327,n1471
n3[52],n3[52],output,,n3[52]
n3[51],n3[51],output,,n3[51]
g272,g272,or,n2495,n2175,n2305
n3[50],n3[50],output,,n3[50]
g2638,g2638,xnor,n2520,n122,n169
n3[49],n3[49],output,,n3[49]
n3[48],n3[48],output,,n3[48]
n3[47],n3[47],output,,n3[47]
g1646,g1646,nor,n1125,n293,n457
g472,g472,or,n2295,n1721,n1974
n4[24],n4[24],output,,n4[24]
n3[45],n3[45],output,,n3[45]
n3[44],n3[44],output,,n3[44]
g230,g230,dff,n8[1],1'b1,1'b1,n0,n930
n5[36],n5[36],output,,n5[36]
n3[43],n3[43],output,,n3[43]
g1006,g1006,nor,n1761,n1053,n1208
n3[42],n3[42],output,,n3[42]
n3[41],n3[41],output,,n3[41]
n3[40],n3[40],output,,n3[40]
n3[39],n3[39],output,,n3[39]
g2174,g2174,not,n597,n4[39]
n3[38],n3[38],output,,n3[38]
g1119,g1119,nor,n1648,n3[28],n1283
n3[55],n3[55],output,,n3[55]
n3[37],n3[37],output,,n3[37]
g2104,g2104,not,n667,n3[25]
g909,g909,or,n1858,n1686,n1793
g501,g501,or,n2266,n1698,n1945
n3[36],n3[36],output,,n3[36]
g626,g626,nor,n2141,n379,n1471
n3[35],n3[35],output,,n3[35]
n3[34],n3[34],output,,n3[34]
g2514,g2514,nor,n253,n17,n252
n3[33],n3[33],output,,n3[33]
n3[32],n3[32],output,,n3[32]
n3[31],n3[31],output,,n3[31]
n3[30],n3[30],output,,n3[30]
g2668,g2668,xnor,n2510,n104,n149
n3[29],n3[29],output,,n3[29]
n3[28],n3[28],output,,n3[28]
n3[27],n3[27],output,,n3[27]
n3[26],n3[26],output,,n3[26]
n3[25],n3[25],output,,n3[25]
n4[41],n4[41],output,,n4[41]
n3[24],n3[24],output,,n3[24]
n3[23],n3[23],output,,n3[23]
n3[22],n3[22],output,,n3[22]
g2109,g2109,not,n662,n3[48]
n3[21],n3[21],output,,n3[21]
n3[20],n3[20],output,,n3[20]
g1651,g1651,nor,n1120,n524,n426
g826,g826,nor,n1941,n1124,n1407
n3[19],n3[19],output,,n3[19]
n3[18],n3[18],output,,n3[18]
n3[17],n3[17],output,,n3[17]
n3[16],n3[16],output,,n3[16]
g1039,g1039,nor,n1728,n5[5],n1308
n3[15],n3[15],output,,n3[15]
n3[14],n3[14],output,,n3[14]
n3[13],n3[13],output,,n3[13]
g969,g969,nor,n1798,n1122,n1214
n3[12],n3[12],output,,n3[12]
n3[11],n3[11],output,,n3[11]
n3[10],n3[10],output,,n3[10]
n3[9],n3[9],output,,n3[9]
n3[8],n3[8],output,,n3[8]
g1139,g1139,nor,n1628,n3[41],n1299
n3[7],n3[7],output,,n3[7]
n3[6],n3[6],output,,n3[6]
n3[5],n3[5],output,,n3[5]
g1495,g1495,or,n1292,n524,n278
n3[4],n3[4],output,,n3[4]
g2691,g2691,xnor,n132,n2[19],n2[83]
n4[57],n4[57],output,,n4[57]
n3[3],n3[3],output,,n3[3]
g777,g777,nor,n1990,n1065,n1446
n3[2],n3[2],output,,n3[2]
g2283,g2283,not,n488,n2[109]
g260,g260,dff,n8[31],1'b1,1'b1,n0,n967
n3[1],n3[1],output,,n3[1]
g1374,g1374,nor,n1538,n1312,n1185
n3[0],n3[0],output,,n3[0]
g249,g249,dff,n8[20],1'b1,1'b1,n0,n922
n2[127],n2[127],input,n2[127]
n2[126],n2[126],input,n2[126]
n2[125],n2[125],input,n2[125]
g444,g444,or,n2323,n2059,n1811
n2[124],n2[124],input,n2[124]
g1811,g1811,nor,n960,n511,n286
n2[123],n2[123],input,n2[123]
g2113,g2113,not,n658,n3[4]
g227,g227,dff,n7[30],1'b1,1'b1,n0,n962
n2[122],n2[122],input,n2[122]
n2[121],n2[121],input,n2[121]
g792,g792,nor,n1975,n1155,n1435
n2[120],n2[120],input,n2[120]
n2[119],n2[119],input,n2[119]
g1838,g1838,nor,n933,n372,n283
g1832,g1832,nor,n939,n300,n286
n2[118],n2[118],input,n2[118]
g705,g705,nor,n2062,n670,n1528
g204,g204,dff,n7[7],1'b1,1'b1,n0,n970
n2[117],n2[117],input,n2[117]
n2[116],n2[116],input,n2[116]
g1460,g1460,or,n1261,n848,n1187
g144,g144,dff,n4[11],1'b1,1'b1,n0,n2406
n2[115],n2[115],input,n2[115]
n2[114],n2[114],input,n2[114]
n2[113],n2[113],input,n2[113]
g2863,g2863,not,n2579,n7[16]
g2456,g2456,not,n315,n2[59]
n2[112],n2[112],input,n2[112]
n2[111],n2[111],input,n2[111]
n2[110],n2[110],input,n2[110]
n2[109],n2[109],input,n2[109]
n2[108],n2[108],input,n2[108]
g801,g801,nor,n1966,n1118,n1427
g443,g443,or,n2324,n2060,n1812
n2[107],n2[107],input,n2[107]
g2703,g2703,xnor,n120,n2[51],n2[115]
n2[106],n2[106],input,n2[106]
g2047,g2047,nor,n724,n8[10],n2548
g1860,g1860,nor,n911,n355,n286
n2[105],n2[105],input,n2[105]
g61,g61,dff,n5[60],1'b1,1'b1,n0,n2473
n2[104],n2[104],input,n2[104]
g2252,g2252,not,n519,n8[2]
n2[103],n2[103],input,n2[103]
n2[102],n2[102],input,n2[102]
n2[101],n2[101],input,n2[101]
n2[100],n2[100],input,n2[100]
n2[99],n2[99],input,n2[99]
n2[98],n2[98],input,n2[98]
n2[97],n2[97],input,n2[97]
n2[96],n2[96],input,n2[96]
n2[95],n2[95],input,n2[95]
n2[94],n2[94],input,n2[94]
n2[93],n2[93],input,n2[93]
g2635,g2635,xnor,n2521,n124,n171
g156,g156,dff,n4[23],1'b1,1'b1,n0,n2385
n2[92],n2[92],input,n2[92]
n2[91],n2[91],input,n2[91]
g2710,g2710,xnor,n113,n2[9],n2[73]
g1708,g1708,nor,n1063,n514,n478
n2[90],n2[90],input,n2[90]
n2[89],n2[89],input,n2[89]
n2[88],n2[88],input,n2[88]
n2[87],n2[87],input,n2[87]
n2[86],n2[86],input,n2[86]
n2[85],n2[85],input,n2[85]
n2[84],n2[84],input,n2[84]
n2[83],n2[83],input,n2[83]
g220,g220,dff,n7[23],1'b1,1'b1,n0,n928
n2[82],n2[82],input,n2[82]
n2[81],n2[81],input,n2[81]
n2[80],n2[80],input,n2[80]
g2073,g2073,not,n698,n5[51]
n2[79],n2[79],input,n2[79]
n2[78],n2[78],input,n2[78]
n2[77],n2[77],input,n2[77]
n2[76],n2[76],input,n2[76]
g2277,g2277,not,n494,n2[101]
n2[75],n2[75],input,n2[75]
g1365,g1365,nor,n1547,n1309,n1185
n5[49],n5[49],output,,n5[49]
n2[74],n2[74],input,n2[74]
n2[73],n2[73],input,n2[73]
n2[72],n2[72],input,n2[72]
g2347,g2347,not,n424,n2[96]
g106,g106,dff,n3[37],1'b1,1'b1,n0,n2339
n2[71],n2[71],input,n2[71]
g514,g514,or,n2253,n1670,n1931
n2[70],n2[70],input,n2[70]
n2[69],n2[69],input,n2[69]
g625,g625,nor,n2142,n303,n1554
n2[68],n2[68],input,n2[68]
g1158,g1158,nor,n1609,n5[30],n1281
g847,g847,nor,n1920,n1039,n1377
n2[67],n2[67],input,n2[67]
g1574,g1574,nor,n1239,n8[3],n279
n2[66],n2[66],input,n2[66]
n2[65],n2[65],input,n2[65]
n2[64],n2[64],input,n2[64]
n2[63],n2[63],input,n2[63]
g1778,g1778,nor,n993,n521,n430
n2[62],n2[62],input,n2[62]
n2[61],n2[61],input,n2[61]
n2[59],n2[59],input,n2[59]
n2[58],n2[58],input,n2[58]
g628,g628,nor,n2139,n603,n1470
n2[57],n2[57],input,n2[57]
n2[56],n2[56],input,n2[56]
n2[55],n2[55],input,n2[55]
g1833,g1833,nor,n938,n317,n288
n2[54],n2[54],input,n2[54]
n2[53],n2[53],input,n2[53]
n2[52],n2[52],input,n2[52]
n2[51],n2[51],input,n2[51]
g998,g998,nor,n1769,n1071,n1219
n2[50],n2[50],input,n2[50]
n2[49],n2[49],input,n2[49]
n2[48],n2[48],input,n2[48]
n2[47],n2[47],input,n2[47]
g2865,g2865,not,n2577,n7[23]
n2[46],n2[46],input,n2[46]
n2[45],n2[45],input,n2[45]
n2[44],n2[44],input,n2[44]
g1412,g1412,nor,n1500,n276,n1252
n2[43],n2[43],input,n2[43]
n2[42],n2[42],input,n2[42]
n2[41],n2[41],input,n2[41]
n2[40],n2[40],input,n2[40]
n2[39],n2[39],input,n2[39]
n2[38],n2[38],input,n2[38]
g908,g908,or,n1859,n1687,n1794
n3[46],n3[46],output,,n3[46]
n2[37],n2[37],input,n2[37]
g1372,g1372,nor,n1540,n1243,n1185
n2[36],n2[36],input,n2[36]
n2[35],n2[35],input,n2[35]
n2[34],n2[34],input,n2[34]
n2[33],n2[33],input,n2[33]
n2[32],n2[32],input,n2[32]
g1599,g1599,not,n1170,n1171
g670,g670,nor,n2097,n671,n1517
n2[31],n2[31],input,n2[31]
g2796,g2796,nor,n27,n2[6],n2[70]
n2[30],n2[30],input,n2[30]
g2475,g2475,not,n296,n2[27]
n2[29],n2[29],input,n2[29]
g2657,g2657,nor,n158,n128,n157
n2[28],n2[28],input,n2[28]
g1134,g1134,nor,n1633,n3[37],n1308
g180,g180,dff,n4[47],1'b1,1'b1,n0,n2424
n2[27],n2[27],input,n2[27]
g1194,g1194,nor,n1573,n5[40],n1277
g411,g411,or,n2356,n2105,n1844
n2[26],n2[26],input,n2[26]
n2[25],n2[25],input,n2[25]
g192,g192,dff,n4[59],1'b1,1'b1,n0,n2455
n2[24],n2[24],input,n2[24]
n2[23],n2[23],input,n2[23]
n2[22],n2[22],input,n2[22]
n2[21],n2[21],input,n2[21]
n2[20],n2[20],input,n2[20]
g2510,g2510,nor,n256,n108,n255
g458,g458,or,n2309,n1732,n1989
n2[19],n2[19],input,n2[19]
g2740,g2740,xnor,n83,n2[45],n2[109]
n2[18],n2[18],input,n2[18]
n2[17],n2[17],input,n2[17]
g2588,g2588,nor,n204,n88,n203
n2[16],n2[16],input,n2[16]
g94,g94,dff,n3[25],1'b1,1'b1,n0,n2351
n2[15],n2[15],input,n2[15]
g1418,g1418,nor,n1494,n277,n1310
n2[14],n2[14],input,n2[14]
g1276,g1276,or,n1395,n847,n1276
g623,g623,nor,n2144,n562,n1497
n2[13],n2[13],input,n2[13]
n2[12],n2[12],input,n2[12]
g415,g415,or,n2352,n2100,n1840
n2[11],n2[11],input,n2[11]
g1451,g1451,or,n1270,n753,n1187
n2[10],n2[10],input,n2[10]
g686,g686,nor,n2081,n582,n1547
n2[9],n2[9],input,n2[9]
n2[8],n2[8],input,n2[8]
g179,g179,dff,n4[46],1'b1,1'b1,n0,n2474
n2[7],n2[7],input,n2[7]
n2[6],n2[6],input,n2[6]
n2[5],n2[5],input,n2[5]
n2[4],n2[4],input,n2[4]
n2[3],n2[3],input,n2[3]
g1300,g1300,or,n1371,n748,n1276
g1135,g1135,nor,n1632,n3[38],n1305
n2[2],n2[2],input,n2[2]
n2[1],n2[1],input,n2[1]
g1124,g1124,nor,n1643,n5[22],n1290
n2[0],n2[0],input,n2[0]
n2[60],n2[60],input,n2[60]
n1,n1,input,n1
g1239,g1239,or,n1432,n822,n1275
n0,n0,input,n0
